Pacman Evaluation Results
========================================
Model: /fhome/pmlai09/miguel/env/pacman/models/ppo/final.zip
Algorithm: ppo
Episodes: 100
Mean reward: 204.72
Std reward: 43.47

Episode 1: reward=248.00, steps=1927
Episode 2: reward=193.00, steps=1552
Episode 3: reward=193.00, steps=1553
Episode 4: reward=136.00, steps=1302
Episode 5: reward=193.00, steps=1547
Episode 6: reward=248.00, steps=1921
Episode 7: reward=193.00, steps=1548
Episode 8: reward=136.00, steps=1302
Episode 9: reward=248.00, steps=1922
Episode 10: reward=233.00, steps=1842
Episode 11: reward=193.00, steps=1551
Episode 12: reward=193.00, steps=1552
Episode 13: reward=193.00, steps=1548
Episode 14: reward=136.00, steps=1305
Episode 15: reward=136.00, steps=1305
Episode 16: reward=193.00, steps=1553
Episode 17: reward=193.00, steps=1550
Episode 18: reward=233.00, steps=1839
Episode 19: reward=136.00, steps=1306
Episode 20: reward=136.00, steps=1305
Episode 21: reward=136.00, steps=1300
Episode 22: reward=136.00, steps=1303
Episode 23: reward=136.00, steps=1302
Episode 24: reward=193.00, steps=1553
Episode 25: reward=248.00, steps=1922
Episode 26: reward=193.00, steps=1548
Episode 27: reward=248.00, steps=1921
Episode 28: reward=233.00, steps=1838
Episode 29: reward=233.00, steps=1837
Episode 30: reward=136.00, steps=1300
Episode 31: reward=233.00, steps=1844
Episode 32: reward=136.00, steps=1303
Episode 33: reward=136.00, steps=1307
Episode 34: reward=193.00, steps=1552
Episode 35: reward=193.00, steps=1548
Episode 36: reward=233.00, steps=1842
Episode 37: reward=136.00, steps=1301
Episode 38: reward=193.00, steps=1548
Episode 39: reward=193.00, steps=1552
Episode 40: reward=248.00, steps=1924
Episode 41: reward=136.00, steps=1301
Episode 42: reward=136.00, steps=1307
Episode 43: reward=248.00, steps=1925
Episode 44: reward=193.00, steps=1551
Episode 45: reward=193.00, steps=1553
Episode 46: reward=136.00, steps=1301
Episode 47: reward=193.00, steps=1549
Episode 48: reward=233.00, steps=1838
Episode 49: reward=233.00, steps=1844
Episode 50: reward=233.00, steps=1841
Episode 51: reward=248.00, steps=1925
Episode 52: reward=193.00, steps=1547
Episode 53: reward=233.00, steps=1838
Episode 54: reward=233.00, steps=1837
Episode 55: reward=193.00, steps=1548
Episode 56: reward=233.00, steps=1839
Episode 57: reward=193.00, steps=1552
Episode 58: reward=193.00, steps=1553
Episode 59: reward=233.00, steps=1839
Episode 60: reward=193.00, steps=1552
Episode 61: reward=233.00, steps=1839
Episode 62: reward=248.00, steps=1926
Episode 63: reward=248.00, steps=1926
Episode 64: reward=136.00, steps=1306
Episode 65: reward=193.00, steps=1550
Episode 66: reward=233.00, steps=1838
Episode 67: reward=136.00, steps=1303
Episode 68: reward=136.00, steps=1303
Episode 69: reward=248.00, steps=1925
Episode 70: reward=248.00, steps=1921
Episode 71: reward=193.00, steps=1549
Episode 72: reward=136.00, steps=1300
Episode 73: reward=233.00, steps=1841
Episode 74: reward=136.00, steps=1300
Episode 75: reward=136.00, steps=1307
Episode 76: reward=248.00, steps=1922
Episode 77: reward=136.00, steps=1301
Episode 78: reward=193.00, steps=1550
Episode 79: reward=193.00, steps=1551
Episode 80: reward=136.00, steps=1304
Episode 81: reward=248.00, steps=1924
Episode 82: reward=233.00, steps=1838
Episode 83: reward=136.00, steps=1303
Episode 84: reward=248.00, steps=1925
Episode 85: reward=233.00, steps=1837
Episode 86: reward=193.00, steps=1547
Episode 87: reward=193.00, steps=1550
Episode 88: reward=193.00, steps=1553
Episode 89: reward=248.00, steps=1927
Episode 90: reward=193.00, steps=1549
Episode 91: reward=136.00, steps=1301
Episode 92: reward=136.00, steps=1305
Episode 93: reward=136.00, steps=1306
Episode 94: reward=136.00, steps=1304
Episode 95: reward=193.00, steps=1547
Episode 96: reward=193.00, steps=1553
Episode 97: reward=136.00, steps=1307
Episode 98: reward=233.00, steps=1844
Episode 99: reward=136.00, steps=1300
Episode 100: reward=233.00, steps=1841
